Date,APOLLOHOSP,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,HDFCLIFE,HEROMOTOCO,HINDALCO,ICICIBANK,INDUSINDBK,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,NTPC,ONGC,RELIANCE,SHREECEM,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
01-01-2020,1426.349976,3150.100098,9378.450195,4231.299805,453.2999878,3039.649902,475.8999939,211.9499969,621.4500122,2432.550049,214.3000031,536.75,1484.300049,238.1000061,1674.050049,1309.949951,7311.700195,14779.0498,121.5500031,127.4499969,1495.424927,20319.90039,323.8500061,467.75,2167.600098,762.0999756,1154.75,4065,247.6999969
02-01-2020,1494.650024,3121,9505.599609,4246.049805,455.2000122,3053.399902,473.5,211.1000061,634.25,2429.449951,220.1499939,540.5999756,1529,239.8500061,1671.550049,1345.300049,7329.850098,14729.34961,121.4000015,128.0500031,1520.883545,21232.15039,323.3500061,484.8500061,2157.649902,766.0499878,1155.599976,4244.799805,248.3000031
03-01-2020,1486.099976,3072.050049,9345.849609,4193.450195,455.1000061,3038.800049,469.9500122,211.8500061,630.7000122,2432.350098,216.4499969,538.8499756,1528.849976,238.5,1657.099976,1335.050049,7254.25,14593.59961,119.3499985,128.4499969,1522.716187,21122.25,318.2000122,483.7000122,2200.649902,775.0999756,1139.699951,4219.200195,251.1000061
06-01-2020,1462.5,3037.649902,9042.700195,3996.699951,449.6499939,3022.050049,466.75,205.6999969,619.5499878,2368.149902,209.3000031,525.7000122,1469.400024,235.1000061,1652.550049,1316.75,7042.399902,14416.65039,118.9000015,126.25,1487.400879,21064.40039,312.1000061,473.25,2200.449951,770.4000244,1158.599976,4157.100098,252.1499939
07-01-2020,1478.699951,3037.949951,9095.650391,4007.649902,445.1000061,3036.600098,468.6000061,205.6999969,629.9500122,2348.050049,208.8500061,522.9000244,1461.650024,235.3500061,1670.849976,1320.5,7073.600098,14290.75,120.5500031,125.75,1510.284058,21963.15039,314.8999939,476.1000061,2205.850098,777.0999756,1159.949951,4242.100098,255.1999969
08-01-2020,1473.650024,3059.25,9145.5,4049.949951,458.8500061,3023.600098,464.75,200.1999969,628.8499756,2317.550049,207.3999939,525.9500122,1458.599976,234.1999969,1654.849976,1291.550049,7035.200195,14391.25,119.9499969,123.4499969,1498.941528,22441.30078,316.25,475.25,2255.25,769.7999878,1143.300049,4318.950195,254.8000031
09-01-2020,1479.599976,3085.699951,9395.25,4124.200195,460.1000061,3001.100098,470.1000061,198,631.5,2354.550049,210.75,546.2999878,1507.650024,235.8000031,1665.050049,1316.150024,7227.899902,14643.4502,119.3499985,123.6999969,1533.464233,22814.55078,328.5499878,483.1499939,2214.350098,773.6500244,1163.449951,4388,253.6499939
10-01-2020,1485.900024,3101.199951,9372.25,4144.850098,457,2989.75,473.5,205.3000031,623.0999756,2363.449951,211.5,540.25,1491.25,238,1684.699951,1324.599976,7330.5,14685.84961,120.3000031,124.1500015,1533.117554,23345.40039,341.3500061,486.2000122,2213.550049,776.25,1154.050049,4444.600098,251.75
13-01-2020,1483.449951,3094.050049,9455.25,4164.5,468.8999939,3045.100098,477.6499939,211.5500031,625.4000244,2366.75,211.1999969,538.5999756,1539.650024,239.25,1691.099976,1334.699951,7352.700195,14658.25,121.75,125.4499969,1529.204712,23829.19922,352.9500122,495.75,2190.350098,785.8499756,1158.949951,4468.700195,254.8000031
14-01-2020,1493.300049,3101.600098,9554.849609,4193,469.3500061,3105.149902,484.25,212.9499969,614.25,2411.399902,211.9499969,537.5999756,1481.650024,243.25,1676.800049,1326.099976,7386.799805,14868.59961,123.5,125.0500031,1515.03894,23560,389.6000061,498.6000061,2206.899902,796.25,1167.099976,4483.299805,257.2000122
15-01-2020,1511.949951,3123.550049,9589.150391,4207.25,467.8500061,3114.199951,484,212.4499969,616.5499878,2476.300049,213.6499939,535.5999756,1400.5,242.3999939,1675.599976,1323.599976,7482.950195,14860.2002,123.8499985,124.6500015,1509.541016,23728.55078,391.4500122,502.1000061,2226.899902,795.1500244,1184.849976,4506.5,248.25
16-01-2020,1591.550049,3112.100098,9622.150391,4220.25,473.8999939,3150.25,480.25,210.25,607.5,2434.5,209.6499939,537.1500244,1386.449951,240.75,1701.550049,1319.300049,7462.649902,15354.90039,121.4499969,124.5,1523.459106,23290.84961,384.25,494.3999939,2238.800049,782.8499756,1192.900024,4472.350098,250.4499969
17-01-2020,1618.599976,3118.100098,9715,4231.75,500.0499878,3124.449951,480.2999878,207.8999939,607.6500244,2454,210.0500031,532.0499878,1352.25,239.9499969,1698.099976,1304.199951,7520.149902,15439.4502,121.1999969,125.4000015,1566.154419,23325.90039,380.2999878,495.25,2219.100098,778.4500122,1188.75,4486.75,251.1000061
